,datetime,open,high,low,close
145,2021-10-03 02:45:00,47624.78906,47624.78906,47557.64844,47559.23047
146,2021-10-03 02:50:00,47586.76953,47668.92188,47545.42969,47668.92188
147,2021-10-03 02:55:00,47651.83984,47651.83984,47605.87109,47621.33984
148,2021-10-03 03:00:00,47624.66016,47624.66016,47547.96094,47594.01172
149,2021-10-03 03:05:00,47583.19922,47589.69141,47544.44141,47545.98828
150,2021-10-03 03:10:00,47553.26172,47593.30859,47553.26172,47566.12109
151,2021-10-03 03:15:00,47552.03125,47671.66016,47550.98828,47671.66016
152,2021-10-03 03:20:00,47671.05859,47671.05859,47573.39844,47616.14844
153,2021-10-03 03:25:00,47603.82812,47603.82812,47572.01172,47580.51172
154,2021-10-03 03:30:00,47595.67188,47651.37109,47595.67188,47651.37109
155,2021-10-03 03:35:00,47641.58984,47644.64062,47621.53125,47621.53125
156,2021-10-03 03:40:00,47625.94141,47694.37891,47625.94141,47690.67188
157,2021-10-03 03:45:00,47704.75000,47704.75000,47639.98047,47674.96875
158,2021-10-03 03:50:00,47677.12109,47907.28125,47677.12109,47859.60938
159,2021-10-03 03:55:00,47842.58984,47913.64844,47842.58984,47870.82031
160,2021-10-03 04:00:00,47888.98047,47888.98047,47824.57031,47828.23047
161,2021-10-03 04:05:00,47824.10156,47839.98828,47792.57812,47836.42969
162,2021-10-03 04:10:00,47830.00000,47890.64844,47830.00000,47890.64844
163,2021-10-03 04:15:00,47916.44141,47916.44141,47837.69141,47837.69141
164,2021-10-03 04:20:00,47810.14062,47869.91016,47810.14062,47847.03906
165,2021-10-03 04:25:00,47850.00000,47869.66016,47842.82812,47869.66016
166,2021-10-03 04:30:00,47843.75000,47870.60156,47841.96094,47853.17188
167,2021-10-03 04:35:00,47861.69141,47914.92188,47836.08984,47914.92188
168,2021-10-03 04:40:00,47890.80859,47890.80859,47832.98828,47860.89844
169,2021-10-03 04:45:00,47856.46094,47923.03125,47850.53906,47923.03125
170,2021-10-03 04:50:00,47933.23828,47946.62891,47886.01953,47908.01172
171,2021-10-03 04:55:00,47912.87891,47912.87891,47885.00000,47891.01172
172,2021-10-03 05:00:00,47889.05859,47920.00000,47870.01953,47920.00000
173,2021-10-03 05:05:00,47943.64062,47980.98828,47943.64062,47979.50000
174,2021-10-03 05:10:00,47989.76953,47994.94922,47973.19141,47981.19141
175,2021-10-03 05:15:00,47976.48047,47976.48047,47912.10938,47912.10938
176,2021-10-03 05:20:00,47929.85156,47995.80859,47929.85156,47961.98047
177,2021-10-03 05:25:00,47976.55078,48014.42969,47938.64062,47964.28125
178,2021-10-03 05:30:00,47968.17188,48081.87891,47968.17188,48081.87891
179,2021-10-03 05:35:00,48076.82031,48077.23828,48027.23047,48065.51953
180,2021-10-03 05:40:00,48081.64062,48090.01172,48072.57812,48072.57812
181,2021-10-03 05:45:00,48063.89844,48089.39844,48036.62109,48055.19922
182,2021-10-03 05:50:00,48037.94141,48037.94141,48001.96875,48027.91016
183,2021-10-03 05:55:00,48004.55859,48004.55859,47976.89844,47987.05859
184,2021-10-03 06:00:00,47994.78906,47994.78906,47916.80859,47916.80859
